"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Alumínio";"2015";"11";"63,16";"1";"5,74";"5";"28,71";3501152
"Alumínio";"2016";"7";"39,94";"-";"-";"3";"17,12";3501152
"Alumínio";"2017";"9";"51,03";"1";"5,67";"1";"5,67";3501152
"Álvares Florence";"2013";"3";"78,72";"-";"-";"-";"-";3501202
"Álvares Florence";"2014";"2";"52,87";"-";"-";"1";"26,43";3501202
"Álvares Florence";"2015";"2";"53,28";"-";"-";"2";"53,28";3501202
"Álvares Florence";"2016";"5";"134,16";"-";"-";"2";"53,66";3501202
"Álvares Florence";"2017";"5";"135,14";"-";"-";"1";"27,03";3501202
"Álvares Machado";"2013";"10";"42,44";"-";"-";"3";"12,73";3501301
"Álvares Machado";"2014";"19";"80,57";"3";"12,72";"7";"29,68";3501301
"Álvares Machado";"2015";"16";"67,79";"5";"21,18";"5";"21,18";3501301
"Álvares Machado";"2016";"21";"88,84";"4";"16,92";"9";"38,07";3501301
"Álvares Machado";"2017";"14";"59,13";"2";"8,45";"4";"16,89";3501301
"Álvaro de Carvalho";"2013";"2";"41,99";"-";"-";"-";"-";3501400
"Álvaro de Carvalho";"2014";"2";"41,64";"-";"-";"1";"20,82";3501400
"Álvaro de Carvalho";"2015";"2";"41,3";"-";"-";"1";"20,65";3501400
"Álvaro de Carvalho";"2016";"-";"-";"-";"-";"-";"-";3501400
"Álvaro de Carvalho";"2017";"1";"20,32";"-";"-";"-";"-";3501400
"Alvinlândia";"2013";"1";"32,73";"1";"32,73";"-";"-";3501509
"Alvinlândia";"2014";"2";"65,06";"-";"-";"1";"32,53";3501509
"Alvinlândia";"2015";"-";"-";"-";"-";"-";"-";3501509
"Alvinlândia";"2016";"1";"32,16";"-";"-";"-";"-";3501509
"Alvinlândia";"2017";"1";"31,99";"-";"-";"-";"-";3501509
"Americana";"2013";"104";"47,72";"17";"7,8";"35";"16,06";3501608
"Americana";"2014";"117";"53,05";"16";"7,25";"47";"21,31";3501608
"Americana";"2015";"96";"43,02";"12";"5,38";"33";"14,79";3501608
"Americana";"2016";"103";"45,74";"21";"9,33";"30";"13,32";3501608
"Americana";"2017";"101";"44,45";"17";"7,48";"21";"9,24";3501608
"Américo Brasiliense";"2013";"21";"57,96";"5";"13,8";"7";"19,32";3501707
"Américo Brasiliense";"2014";"21";"56,97";"6";"16,28";"10";"27,13";3501707
"Américo Brasiliense";"2015";"23";"61,34";"3";"8";"13";"34,67";3501707
"Américo Brasiliense";"2016";"23";"60,48";"4";"10,52";"10";"26,3";3501707
