"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Eldorado";"2015";"8";"53,95";"1";"6,74";"3";"20,23";3514809
"Eldorado";"2016";"6";"40,24";"1";"6,71";"3";"20,12";3514809
"Eldorado";"2017";"12";"80,05";"1";"6,67";"3";"20,01";3514809
"Elias Fausto";"2013";"11";"67,63";"1";"6,15";"3";"18,44";3514908
"Elias Fausto";"2014";"6";"36,5";"2";"12,17";"3";"18,25";3514908
"Elias Fausto";"2015";"17";"102,34";"3";"18,06";"5";"30,1";3514908
"Elias Fausto";"2016";"6";"35,81";"1";"5,97";"1";"5,97";3514908
"Elias Fausto";"2017";"8";"47,33";"1";"5,92";"3";"17,75";3514908
"Elisiário";"2013";"3";"92,65";"-";"-";"-";"-";3514924
"Elisiário";"2014";"4";"121,88";"-";"-";"2";"60,94";3514924
"Elisiário";"2015";"3";"90,25";"-";"-";"2";"60,17";3514924
"Elisiário";"2016";"-";"-";"-";"-";"-";"-";3514924
"Elisiário";"2017";"3";"88,42";"2";"58,94";"1";"29,47";3514924
"Embaúba";"2013";"5";"207,13";"-";"-";"4";"165,7";3514957
"Embaúba";"2014";"1";"41,48";"-";"-";"1";"41,48";3514957
"Embaúba";"2015";"2";"83,06";"-";"-";"1";"41,53";3514957
"Embaúba";"2016";"3";"124,58";"-";"-";"1";"41,53";3514957
"Embaúba";"2017";"2";"83,06";"-";"-";"1";"41,53";3514957
"Embu das Artes";"2013";"166";"66,54";"60";"24,05";"32";"12,83";3515004
"Embu das Artes";"2014";"186";"73,6";"58";"22,95";"42";"16,62";3515004
"Embu das Artes";"2015";"136";"53,12";"37";"14,45";"26";"10,16";3515004
"Embu das Artes";"2016";"139";"53,69";"33";"12,75";"33";"12,75";3515004
"Embu das Artes";"2017";"112";"42,77";"10";"3,82";"11";"4,2";3515004
"Embu-Guaçu";"2013";"48";"74,61";"21";"32,64";"9";"13,99";3515103
"Embu-Guaçu";"2014";"53";"81,69";"21";"32,37";"17";"26,2";3515103
"Embu-Guaçu";"2015";"59";"90,17";"23";"35,15";"10";"15,28";3515103
"Embu-Guaçu";"2016";"45";"68,23";"17";"25,78";"11";"16,68";3515103
"Embu-Guaçu";"2017";"42";"63,19";"7";"10,53";"6";"9,03";3515103
"Emilianópolis";"2013";"1";"32,89";"-";"-";"-";"-";3515129
"Emilianópolis";"2014";"-";"-";"-";"-";"-";"-";3515129
"Emilianópolis";"2015";"2";"65,49";"-";"-";"-";"-";3515129
"Emilianópolis";"2016";"2";"65,42";"-";"-";"-";"-";3515129
"Emilianópolis";"2017";"-";"-";"-";"-";"-";"-";3515129
"Engenheiro Coelho";"2013";"14";"81,3";"3";"17,42";"8";"46,46";3515152
"Engenheiro Coelho";"2014";"17";"95,66";"1";"5,63";"9";"50,64";3515152
"Engenheiro Coelho";"2015";"11";"59,97";"3";"16,36";"6";"32,71";3515152
"Engenheiro Coelho";"2016";"8";"42,64";"-";"-";"5";"26,65";3515152
"Engenheiro Coelho";"2017";"19";"99,01";"3";"15,63";"3";"15,63";3515152
"Espírito Santo do Pinhal";"2013";"21";"49,84";"2";"4,75";"8";"18,99";3515186
"Espírito Santo do Pinhal";"2014";"18";"42,64";"3";"7,11";"7";"16,58";3515186
"Espírito Santo do Pinhal";"2015";"26";"61,47";"-";"-";"8";"18,92";3515186
"Espírito Santo do Pinhal";"2016";"30";"70,84";"1";"2,36";"12";"28,34";3515186
"Espírito Santo do Pinhal";"2017";"28";"66,03";"1";"2,36";"8";"18,87";3515186
"Espírito Santo do Turvo";"2013";"3";"68,1";"1";"22,7";"1";"22,7";3515194
"Espírito Santo do Turvo";"2014";"4";"89,65";"1";"22,41";"1";"22,41";3515194
"Espírito Santo do Turvo";"2015";"3";"66,39";"-";"-";"1";"22,13";3515194
"Espírito Santo do Turvo";"2016";"3";"65,6";"1";"21,87";"1";"21,87";3515194
"Espírito Santo do Turvo";"2017";"2";"43,21";"1";"21,6";"-";"-";3515194
"Estiva Gerbi";"2013";"8";"77,23";"2";"19,31";"3";"28,96";3557303
"Estiva Gerbi";"2014";"6";"57,31";"-";"-";"2";"19,1";3557303
"Estiva Gerbi";"2015";"5";"47,25";"-";"-";"2";"18,9";3557303
"Estiva Gerbi";"2016";"4";"37,46";"-";"-";"1";"9,37";3557303
"Estiva Gerbi";"2017";"5";"46,4";"-";"-";"-";"-";3557303
"Estrela d'Oeste";"2013";"9";"110,06";"1";"12,23";"6";"73,38";3515202
"Estrela d'Oeste";"2014";"4";"48,97";"-";"-";"4";"48,97";3515202
"Estrela d'Oeste";"2015";"3";"36,78";"1";"12,26";"2";"24,52";3515202
"Estrela d'Oeste";"2016";"6";"73,67";"1";"12,28";"1";"12,28";3515202
"Estrela d'Oeste";"2017";"9";"110,67";"-";"-";"2";"24,59";3515202
"Estrela do Norte";"2013";"-";"-";"-";"-";"-";"-";3515301
"Estrela do Norte";"2014";"1";"37,66";"-";"-";"1";"37,66";3515301
"Estrela do Norte";"2015";"1";"37,68";"-";"-";"1";"37,68";3515301
"Estrela do Norte";"2016";"2";"75,3";"-";"-";"1";"37,65";3515301
"Estrela do Norte";"2017";"1";"37,62";"-";"-";"-";"-";3515301
"Euclides da Cunha Paulista";"2013";"7";"73,41";"3";"31,46";"3";"31,46";3515350
"Euclides da Cunha Paulista";"2014";"4";"42,03";"-";"-";"2";"21,02";3515350
"Euclides da Cunha Paulista";"2015";"11";"115,79";"-";"-";"6";"63,16";3515350
"Euclides da Cunha Paulista";"2016";"6";"63,11";"-";"-";"4";"42,07";3515350
"Euclides da Cunha Paulista";"2017";"7";"73,58";"2";"21,02";"2";"21,02";3515350
"Fartura";"2013";"7";"45,44";"1";"6,49";"2";"12,98";3515400
"Fartura";"2014";"11";"71,28";"1";"6,48";"4";"25,92";3515400
"Fartura";"2015";"11";"71,15";"1";"6,47";"6";"38,81";3515400
"Fartura";"2016";"17";"109,7";"3";"19,36";"9";"58,08";3515400
"Fartura";"2017";"18";"115,87";"1";"6,44";"8";"51,5";3515400
"Fernando Prestes";"2013";"3";"54,05";"-";"-";"3";"54,05";3515608
"Fernando Prestes";"2014";"2";"36";"1";"18";"1";"18";3515608
"Fernando Prestes";"2015";"5";"89,91";"-";"-";"-";"-";3515608
"Fernando Prestes";"2016";"1";"17,98";"-";"-";"1";"17,98";3515608
"Fernando Prestes";"2017";"3";"53,9";"-";"-";"-";"-";3515608
"Fernandópolis";"2013";"44";"67,49";"4";"6,14";"24";"36,81";3515509
"Fernandópolis";"2014";"37";"56,6";"1";"1,53";"20";"30,59";3515509
"Fernandópolis";"2015";"40";"61,02";"4";"6,1";"20";"30,51";3515509
"Fernandópolis";"2016";"40";"60,92";"2";"3,05";"12";"18,28";3515509
"Fernandópolis";"2017";"47";"71,45";"1";"1,52";"20";"30,41";3515509
"Fernão";"2013";"2";"126,02";"-";"-";"1";"63,01";3515657
"Fernão";"2014";"1";"62,66";"-";"-";"-";"-";3515657
"Fernão";"2015";"-";"-";"-";"-";"-";"-";3515657
"Fernão";"2016";"-";"-";"-";"-";"-";"-";3515657
"Fernão";"2017";"2";"123,3";"-";"-";"2";"123,3";3515657
"Ferraz de Vasconcelos";"2013";"98";"55,81";"31";"17,66";"19";"10,82";3515707
"Ferraz de Vasconcelos";"2014";"85";"47,71";"20";"11,23";"17";"9,54";3515707
"Ferraz de Vasconcelos";"2015";"74";"40,93";"23";"12,72";"11";"6,08";3515707
"Ferraz de Vasconcelos";"2016";"82";"44,77";"26";"14,2";"14";"7,64";3515707
"Ferraz de Vasconcelos";"2017";"88";"47,42";"19";"10,24";"11";"5,93";3515707
"Flora Rica";"2013";"2";"118,13";"1";"59,07";"1";"59,07";3515806
"Flora Rica";"2014";"-";"-";"-";"-";"-";"-";3515806
"Flora Rica";"2015";"1";"60,46";"-";"-";"1";"60,46";3515806
"Flora Rica";"2016";"3";"182,82";"-";"-";"1";"60,94";3515806
"Flora Rica";"2017";"1";"61,43";"-";"-";"1";"61,43";3515806
"Floreal";"2013";"1";"33,81";"-";"-";"1";"33,81";3515905
"Floreal";"2014";"-";"-";"-";"-";"-";"-";3515905
"Floreal";"2015";"1";"34,18";"-";"-";"-";"-";3515905
"Floreal";"2016";"1";"34,34";"-";"-";"-";"-";3515905
"Floreal";"2017";"1";"34,52";"-";"-";"-";"-";3515905
"Flórida Paulista";"2013";"9";"71,43";"-";"-";"2";"15,87";3516002
"Flórida Paulista";"2014";"11";"87,85";"2";"15,97";"5";"39,93";3516002
"Flórida Paulista";"2015";"5";"40,17";"-";"-";"3";"24,1";3516002
"Flórida Paulista";"2016";"7";"56,54";"1";"8,08";"2";"16,16";3516002
"Flórida Paulista";"2017";"10";"81,2";"-";"-";"1";"8,12";3516002
"Florínea";"2013";"4";"143,78";"-";"-";"-";"-";3516101
"Florínea";"2014";"-";"-";"-";"-";"-";"-";3516101
"Florínea";"2015";"2";"72,73";"-";"-";"-";"-";3516101
"Florínea";"2016";"1";"36,5";"-";"-";"-";"-";3516101
"Florínea";"2017";"1";"36,62";"-";"-";"1";"36,62";3516101
"Franca";"2013";"153";"46,93";"19";"5,83";"67";"20,55";3516200
"Franca";"2014";"165";"50,21";"19";"5,78";"64";"19,47";3516200
"Franca";"2015";"163";"49,21";"27";"8,15";"47";"14,19";3516200
"Franca";"2016";"161";"48,29";"25";"7,5";"52";"15,6";3516200
"Franca";"2017";"168";"50,06";"24";"7,15";"55";"16,39";3516200
"Francisco Morato";"2013";"85";"53,1";"19";"11,87";"30";"18,74";3516309
"Francisco Morato";"2014";"102";"62,94";"22";"13,58";"38";"23,45";3516309
"Francisco Morato";"2015";"89";"54,25";"15";"9,14";"20";"12,19";3516309
"Francisco Morato";"2016";"98";"59,01";"22";"13,25";"25";"15,05";3516309
"Francisco Morato";"2017";"76";"45,21";"19";"11,3";"18";"10,71";3516309
"Franco da Rocha";"2013";"79";"57,34";"14";"10,16";"30";"21,77";3516408
"Franco da Rocha";"2014";"81";"57,86";"24";"17,15";"19";"13,57";3516408
"Franco da Rocha";"2015";"85";"59,77";"19";"13,36";"20";"14,06";3516408
"Franco da Rocha";"2016";"82";"56,88";"15";"10,41";"24";"16,65";3516408
"Franco da Rocha";"2017";"68";"46,53";"15";"10,26";"12";"8,21";3516408
"Gabriel Monteiro";"2013";"1";"36,97";"1";"36,97";"-";"-";3516507
"Gabriel Monteiro";"2014";"1";"37";"-";"-";"1";"37";3516507
"Gabriel Monteiro";"2015";"2";"74,02";"-";"-";"2";"74,02";3516507
"Gabriel Monteiro";"2016";"1";"37,06";"-";"-";"-";"-";3516507
"Gabriel Monteiro";"2017";"-";"-";"-";"-";"-";"-";3516507
"Gália";"2013";"4";"58,45";"1";"14,61";"-";"-";3516606
"Gália";"2014";"7";"103,14";"-";"-";"3";"44,2";3516606
"Gália";"2015";"6";"89,15";"1";"14,86";"2";"29,72";3516606
"Gália";"2016";"3";"44,8";"1";"14,93";"2";"29,87";3516606
"Gália";"2017";"6";"90,05";"-";"-";"-";"-";3516606
"Garça";"2013";"23";"53,6";"2";"4,66";"4";"9,32";3516705
"Garça";"2014";"20";"46,69";"1";"2,33";"8";"18,68";3516705
"Garça";"2015";"25";"58,45";"-";"-";"5";"11,69";3516705
"Garça";"2016";"43";"100,67";"2";"4,68";"12";"28,1";3516705
"Garça";"2017";"23";"53,92";"3";"7,03";"6";"14,07";3516705
"Gastão Vidigal";"2013";"2";"45,66";"-";"-";"-";"-";3516804
"Gastão Vidigal";"2014";"-";"-";"-";"-";"-";"-";3516804
"Gastão Vidigal";"2015";"2";"44,32";"-";"-";"-";"-";3516804
"Gastão Vidigal";"2016";"7";"153,41";"-";"-";"4";"87,66";3516804
"Gastão Vidigal";"2017";"1";"21,67";"-";"-";"-";"-";3516804
"Gavião Peixoto";"2013";"2";"44,68";"-";"-";"1";"22,34";3516853
"Gavião Peixoto";"2014";"1";"22,24";"-";"-";"1";"22,24";3516853
"Gavião Peixoto";"2015";"3";"66,43";"-";"-";"1";"22,14";3516853
"Gavião Peixoto";"2016";"2";"44,1";"-";"-";"1";"22,05";3516853
"Gavião Peixoto";"2017";"1";"21,96";"-";"-";"-";"-";3516853
"General Salgado";"2013";"9";"84,27";"-";"-";"5";"46,82";3516903
"General Salgado";"2014";"13";"121,69";"-";"-";"4";"37,44";3516903
"General Salgado";"2015";"8";"74,86";"-";"-";"4";"37,43";3516903
"General Salgado";"2016";"8";"74,91";"1";"9,36";"3";"28,09";3516903
"General Salgado";"2017";"11";"103,08";"3";"28,11";"2";"18,74";3516903
"Getulina";"2013";"2";"18,55";"-";"-";"-";"-";3517000
"Getulina";"2014";"6";"55,61";"1";"9,27";"2";"18,54";3517000
"Getulina";"2015";"10";"92,62";"1";"9,26";"3";"27,79";3517000
"Getulina";"2016";"7";"64,77";"2";"18,51";"1";"9,25";3517000
"Getulina";"2017";"5";"46,22";"-";"-";"2";"18,49";3517000
"Glicério";"2013";"4";"86,51";"1";"21,63";"2";"43,25";3517109
"Glicério";"2014";"7";"150,76";"-";"-";"5";"107,69";3517109
"Glicério";"2015";"4";"85,76";"-";"-";"2";"42,88";3517109
"Glicério";"2016";"4";"85,45";"1";"21,36";"1";"21,36";3517109
"Glicério";"2017";"3";"63,86";"-";"-";"2";"42,57";3517109
"Guaimbê";"2013";"4";"73,41";"1";"18,35";"1";"18,35";3517307
"Guaimbê";"2014";"10";"183,25";"-";"-";"2";"36,65";3517307
"Guaimbê";"2015";"4";"73,18";"-";"-";"2";"36,59";3517307
"Guaimbê";"2016";"5";"91,26";"-";"-";"2";"36,5";3517307
"Guaimbê";"2017";"5";"91,02";"-";"-";"3";"54,61";3517307
"Guaíra";"2013";"25";"65,88";"-";"-";"9";"23,72";3517406
"Guaíra";"2014";"27";"70,8";"3";"7,87";"8";"20,98";3517406
"Guaíra";"2015";"31";"80,88";"3";"7,83";"8";"20,87";3517406
"Guaíra";"2016";"25";"64,98";"2";"5,2";"7";"18,19";3517406
"Guaíra";"2017";"23";"59,56";"3";"7,77";"5";"12,95";3517406
"Guaiçara";"2013";"6";"54,26";"2";"18,09";"3";"27,13";3517208
"Guaiçara";"2014";"10";"89,33";"3";"26,8";"6";"53,6";3517208
"Guaiçara";"2015";"5";"44,12";"-";"-";"1";"8,82";3517208
"Guaiçara";"2016";"4";"34,92";"-";"-";"3";"26,19";3517208
"Guaiçara";"2017";"3";"25,92";"1";"8,64";"-";"-";3517208
"Guapiara";"2013";"19";"106,63";"2";"11,22";"7";"39,29";3517604
"Guapiara";"2014";"15";"84,49";"4";"22,53";"6";"33,8";3517604
"Guapiara";"2015";"8";"45,22";"1";"5,65";"3";"16,96";3517604
"Guapiara";"2016";"15";"84,71";"-";"-";"6";"33,88";3517604
"Guapiara";"2017";"8";"45,14";"-";"-";"2";"11,28";3517604
"Guapiaçu";"2013";"17";"90,38";"2";"10,63";"7";"37,22";3517505
"Guapiaçu";"2014";"6";"31,34";"1";"5,22";"4";"20,89";3517505
"Guapiaçu";"2015";"5";"25,66";"1";"5,13";"1";"5,13";3517505
"Guapiaçu";"2016";"13";"65,81";"3";"15,19";"5";"25,31";3517505
"Guapiaçu";"2017";"13";"64,93";"1";"4,99";"6";"29,97";3517505
"Guará";"2013";"11";"54,64";"-";"-";"6";"29,8";3517703
"Guará";"2014";"11";"54,39";"3";"14,83";"4";"19,78";3517703
"Guará";"2015";"11";"54,13";"3";"14,76";"3";"14,76";3517703
"Guará";"2016";"3";"14,69";"-";"-";"1";"4,9";3517703
"Guará";"2017";"8";"38,98";"3";"14,62";"3";"14,62";3517703
"Guaraci";"2013";"7";"68,1";"3";"29,19";"2";"19,46";3517901
"Guaraci";"2014";"8";"77,03";"-";"-";"4";"38,51";3517901
"Guaraci";"2015";"9";"85,76";"-";"-";"4";"38,12";3517901
"Guaraci";"2016";"6";"56,66";"1";"9,44";"-";"-";3517901
"Guaraci";"2017";"7";"65,51";"-";"-";"1";"9,36";3517901
"Guarani d'Oeste";"2013";"-";"-";"-";"-";"-";"-";3518008
"Guarani d'Oeste";"2014";"-";"-";"-";"-";"-";"-";3518008
"Guarani d'Oeste";"2015";"1";"51,36";"-";"-";"-";"-";3518008
"Guarani d'Oeste";"2016";"2";"102,99";"-";"-";"1";"51,49";3518008
"Guarani d'Oeste";"2017";"2";"103,25";"-";"-";"1";"51,63";3518008
"Guarantã";"2013";"6";"93,41";"1";"15,57";"4";"62,28";3518107
"Guarantã";"2014";"6";"93,31";"-";"-";"3";"46,66";3518107
"Guarantã";"2015";"3";"46,61";"-";"-";"2";"31,08";3518107
"Guarantã";"2016";"5";"77,58";"-";"-";"1";"15,52";3518107
"Guarantã";"2017";"5";"77,5";"1";"15,5";"1";"15,5";3518107
"Guararapes";"2013";"17";"54,67";"5";"16,08";"4";"12,86";3518206
"Guararapes";"2014";"18";"57,56";"5";"15,99";"4";"12,79";3518206
"Guararapes";"2015";"27";"85,86";"4";"12,72";"7";"22,26";3518206
"Guararapes";"2016";"14";"44,35";"2";"6,34";"3";"9,5";3518206
"Guararapes";"2017";"16";"50,48";"5";"15,77";"3";"9,46";3518206
"Guararema";"2013";"21";"78,12";"5";"18,6";"6";"22,32";3518305
"Guararema";"2014";"20";"73,4";"4";"14,68";"7";"25,69";3518305
"Guararema";"2015";"19";"68,79";"2";"7,24";"8";"28,96";3518305
"Guararema";"2016";"16";"57,2";"1";"3,57";"5";"17,87";3518305
"Guararema";"2017";"16";"56,48";"-";"-";"8";"28,24";3518305
"Guaratinguetá";"2013";"57";"49,98";"22";"19,29";"20";"17,54";3518404
"Guaratinguetá";"2014";"83";"72,33";"33";"28,76";"21";"18,3";3518404
"Guaratinguetá";"2015";"86";"74,49";"23";"19,92";"23";"19,92";3518404
"Guaratinguetá";"2016";"87";"74,99";"24";"20,69";"27";"23,27";3518404
"Guaratinguetá";"2017";"82";"70,33";"21";"18,01";"18";"15,44";3518404
"Guaraçaí";"2013";"5";"59,25";"2";"23,7";"-";"-";3517802
"Guaraçaí";"2014";"6";"71,09";"-";"-";"4";"47,39";3517802
"Guaraçaí";"2015";"2";"23,7";"-";"-";"2";"23,7";3517802
"Guaraçaí";"2016";"3";"35,57";"1";"11,86";"1";"11,86";3517802
"Guaraçaí";"2017";"4";"47,46";"-";"-";"-";"-";3517802
"Guareí";"2013";"7";"46,97";"1";"6,71";"2";"13,42";3518503
"Guareí";"2014";"4";"26,61";"1";"6,65";"-";"-";3518503
"Guareí";"2015";"10";"65,95";"3";"19,79";"3";"19,79";3518503
"Guareí";"2016";"11";"71,99";"1";"6,54";"2";"13,09";3518503
"Guareí";"2017";"6";"38,97";"2";"12,99";"1";"6,5";3518503
"Guariba";"2013";"26";"71,08";"5";"13,67";"11";"30,07";3518602
"Guariba";"2014";"25";"67,64";"5";"13,53";"9";"24,35";3518602
"Guariba";"2015";"23";"61,58";"10";"26,77";"3";"8,03";3518602
"Guariba";"2016";"19";"50,43";"8";"21,23";"6";"15,92";3518602
"Guariba";"2017";"17";"44,73";"7";"18,42";"1";"2,63";3518602
"Guarujá";"2013";"190";"63,72";"77";"25,82";"62";"20,79";3518701
"Guarujá";"2014";"186";"61,84";"66";"21,94";"47";"15,63";3518701
"Guarujá";"2015";"150";"49,44";"33";"10,88";"44";"14,5";3518701
"Guarujá";"2016";"181";"59,16";"37";"12,09";"49";"16,02";3518701
"Guarujá";"2017";"144";"46,67";"30";"9,72";"23";"7,45";3518701
"Guarulhos";"2013";"740";"58,69";"228";"18,08";"174";"13,8";3518800
"Guarulhos";"2014";"840";"65,91";"261";"20,48";"197";"15,46";3518800
"Guarulhos";"2015";"692";"53,71";"202";"15,68";"148";"11,49";3518800
"Guarulhos";"2016";"676";"51,97";"192";"14,76";"122";"9,38";3518800
"Guarulhos";"2017";"618";"47,06";"142";"10,81";"105";"8";3518800
"Guatapará";"2013";"5";"70,36";"-";"-";"2";"28,15";3518859
"Guatapará";"2014";"6";"83,86";"1";"13,98";"3";"41,93";3518859
"Guatapará";"2015";"13";"180,46";"-";"-";"3";"41,64";3518859
"Guatapará";"2016";"7";"96,55";"-";"-";"2";"27,59";3518859
"Guatapará";"2017";"5";"68,52";"-";"-";"3";"41,11";3518859
"Guzolândia";"2013";"1";"20,57";"1";"20,57";"-";"-";3518909
"Guzolândia";"2014";"4";"81,67";"1";"20,42";"2";"40,83";3518909
"Guzolândia";"2015";"5";"101,3";"1";"20,26";"1";"20,26";3518909
"Guzolândia";"2016";"6";"120,72";"1";"20,12";"3";"60,36";3518909
"Guzolândia";"2017";"3";"59,95";"-";"-";"-";"-";3518909
"Herculândia";"2013";"2";"22,57";"-";"-";"1";"11,28";3519006
"Herculândia";"2014";"8";"89,68";"2";"22,42";"4";"44,84";3519006
"Herculândia";"2015";"2";"22,27";"-";"-";"-";"-";3519006
"Herculândia";"2016";"8";"88,53";"1";"11,07";"5";"55,33";3519006
"Herculândia";"2017";"4";"44";"-";"-";"2";"22";3519006
"Holambra";"2013";"9";"73,13";"-";"-";"8";"65";3519055
"Holambra";"2014";"3";"23,66";"2";"15,78";"1";"7,89";3519055
"Holambra";"2015";"7";"53,6";"1";"7,66";"3";"22,97";3519055
"Holambra";"2016";"5";"37,5";"-";"-";"-";"-";3519055
"Holambra";"2017";"2";"14,69";"-";"-";"1";"7,34";3519055
"Hortolândia";"2013";"116";"56,94";"41";"20,13";"36";"17,67";3519071
"Hortolândia";"2014";"131";"63,08";"51";"24,56";"37";"17,82";3519071
"Hortolândia";"2015";"135";"63,77";"30";"14,17";"37";"17,48";3519071
"Hortolândia";"2016";"98";"45,52";"24";"11,15";"25";"11,61";3519071
"Hortolândia";"2017";"90";"41,11";"27";"12,33";"18";"8,22";3519071
"Iacanga";"2013";"9";"86,42";"-";"-";"2";"19,2";3519105
"Iacanga";"2014";"14";"132,61";"-";"-";"9";"85,25";3519105
"Iacanga";"2015";"5";"46,72";"-";"-";"2";"18,69";3519105
"Iacanga";"2016";"8";"73,94";"1";"9,24";"2";"18,48";3519105
"Iacanga";"2017";"3";"27,42";"-";"-";"1";"9,14";3519105
"Iacri";"2013";"4";"62,7";"1";"15,67";"-";"-";3519204
"Iacri";"2014";"6";"94,24";"1";"15,71";"3";"47,12";3519204
"Iacri";"2015";"4";"62,96";"-";"-";"1";"15,74";3519204
"Iacri";"2016";"5";"78,9";"1";"15,78";"-";"-";3519204
"Iacri";"2017";"9";"142,41";"3";"47,47";"2";"31,65";3519204
"Iaras";"2013";"2";"30,74";"2";"30,74";"-";"-";3519253
"Iaras";"2014";"7";"106,61";"-";"-";"4";"60,92";3519253
"Iaras";"2015";"7";"105,68";"3";"45,29";"1";"15,1";3519253
"Iaras";"2016";"9";"134,79";"1";"14,98";"1";"14,98";3519253
"Iaras";"2017";"8";"118,85";"1";"14,86";"2";"29,71";3519253
"Ibaté";"2013";"26";"81,37";"2";"6,26";"13";"40,69";3519303
"Ibaté";"2014";"19";"58,68";"6";"18,53";"8";"24,71";3519303
"Ibaté";"2015";"16";"48,76";"1";"3,05";"7";"21,33";3519303
"Ibaté";"2016";"14";"42,18";"2";"6,03";"3";"9,04";3519303
"Ibaté";"2017";"20";"59,57";"8";"23,83";"3";"8,94";3519303
"Ibirá";"2013";"7";"62,16";"1";"8,88";"1";"8,88";3519402
"Ibirá";"2014";"10";"87,8";"1";"8,78";"4";"35,12";3519402
"Ibirá";"2015";"13";"112,84";"1";"8,68";"7";"60,76";3519402
"Ibirá";"2016";"4";"34,4";"-";"-";"2";"17,2";3519402
"Ibirá";"2017";"9";"76,71";"-";"-";"6";"51,14";3519402
"Ibirarema";"2013";"2";"28,75";"1";"14,38";"1";"14,38";3519501
"Ibirarema";"2014";"5";"71,04";"-";"-";"2";"28,42";3519501
"Ibirarema";"2015";"2";"28,09";"-";"-";"1";"14,04";3519501
"Ibirarema";"2016";"6";"83,37";"4";"55,58";"1";"13,89";3519501
"Ibirarema";"2017";"3";"41,24";"-";"-";"2";"27,5";3519501
"Ibitinga";"2013";"42";"76,57";"7";"12,76";"17";"30,99";3519600
"Ibitinga";"2014";"31";"55,9";"5";"9,02";"10";"18,03";3519600
"Ibitinga";"2015";"46";"82,06";"6";"10,7";"18";"32,11";3519600
"Ibitinga";"2016";"25";"44,22";"5";"8,84";"6";"10,61";3519600
"Ibitinga";"2017";"21";"36,83";"3";"5,26";"2";"3,51";3519600
"Ibiúna";"2013";"73";"100,32";"13";"17,87";"23";"31,61";3519709
"Ibiúna";"2014";"64";"87,3";"9";"12,28";"30";"40,92";3519709
"Ibiúna";"2015";"65";"88,01";"10";"13,54";"23";"31,14";3519709
"Ibiúna";"2016";"57";"76,65";"8";"10,76";"18";"24,21";3519709
"Ibiúna";"2017";"58";"77,46";"10";"13,36";"21";"28,05";3519709
"Icém";"2013";"8";"104,75";"1";"13,09";"6";"78,56";3519808
"Icém";"2014";"7";"90,93";"1";"12,99";"3";"38,97";3519808
"Icém";"2015";"8";"103,09";"1";"12,89";"3";"38,66";3519808
"Icém";"2016";"3";"38,39";"-";"-";"2";"25,6";3519808
"Icém";"2017";"5";"63,56";"-";"-";"1";"12,71";3519808
"Iepê";"2013";"7";"90,78";"2";"25,94";"1";"12,97";3519907
"Iepê";"2014";"6";"77,53";"2";"25,84";"-";"-";3519907
"Iepê";"2015";"4";"51,49";"-";"-";"-";"-";3519907
"Iepê";"2016";"3";"38,47";"1";"12,82";"-";"-";3519907
"Iepê";"2017";"2";"25,55";"-";"-";"-";"-";3519907
"Igarapava";"2013";"15";"52,76";"3";"10,55";"3";"10,55";3520103
"Igarapava";"2014";"12";"41,97";"3";"10,49";"3";"10,49";3520103
"Igarapava";"2015";"18";"62,58";"4";"13,91";"4";"13,91";3520103
"Igarapava";"2016";"13";"44,98";"2";"6,92";"2";"6,92";3520103
"Igarapava";"2017";"17";"58,55";"1";"3,44";"3";"10,33";3520103
"Igaratá";"2013";"6";"66,86";"1";"11,14";"2";"22,29";3520202
"Igaratá";"2014";"7";"77,56";"2";"22,16";"3";"33,24";3520202
"Igaratá";"2015";"7";"77,13";"-";"-";"2";"22,04";3520202
"Igaratá";"2016";"7";"76,74";"4";"43,85";"-";"-";3520202
"Igaratá";"2017";"11";"119,97";"1";"10,91";"-";"-";3520202
"Igaraçu do Tietê";"2013";"15";"63,6";"4";"16,96";"5";"21,2";3520004
"Igaraçu do Tietê";"2014";"23";"97,21";"5";"21,13";"9";"38,04";3520004
"Igaraçu do Tietê";"2015";"11";"46,34";"3";"12,64";"-";"-";3520004
"Igaraçu do Tietê";"2016";"13";"54,58";"3";"12,6";"2";"8,4";3520004
"Igaraçu do Tietê";"2017";"11";"46,03";"3";"12,55";"2";"8,37";3520004
"Iguape";"2013";"19";"65,56";"6";"20,7";"5";"17,25";3520301
"Iguape";"2014";"19";"65,45";"1";"3,44";"11";"37,89";3520301
"Iguape";"2015";"14";"48,14";"2";"6,88";"6";"20,63";3520301
"Iguape";"2016";"18";"61,73";"1";"3,43";"5";"17,15";3520301
"Iguape";"2017";"30";"102,62";"5";"17,1";"12";"41,05";3520301
"Ilha Comprida";"2013";"9";"95,91";"2";"21,31";"3";"31,97";3520426
"Ilha Comprida";"2014";"9";"94,59";"1";"10,51";"5";"52,55";3520426
"Ilha Comprida";"2015";"14";"145,12";"1";"10,37";"7";"72,56";3520426
"Ilha Comprida";"2016";"9";"92,08";"1";"10,23";"2";"20,46";3520426
"Ilha Comprida";"2017";"7";"70,7";"1";"10,1";"3";"30,3";3520426
"Ilha Solteira";"2013";"19";"75,06";"2";"7,9";"8";"31,6";3520442
